Tweet user,score
faznet,5.736959584773182
Varneyco,2.7213683532222603
VinnyLingham,2.597201732253132
minesweep0r,2.294552047874862
Hedgeye,1.7409306374800084
PeterBordes,1.481275653432794
CaliforniaHODL,1.3781025839343197
MarcoDaCostaFX,1.2753044997343361
TStablegenius,1.2447499695524997
DanBuk4,1.1906156644057218
PhukenHung,1.1131570144199128
4Awesometweet,1.012619139640717
lecho,0.9113130887753611
VanityXpert,0.8531779032830218
GenoBlackGaming,0.8500819410652066
S3Partners,0.7631192180884855
PS5restocks_etc,0.7222509653813703
LATechSpartan,0.587124295000005
RobShiveley,0.5825255719362786
agaw,0.5702629709560095
raftofwater,0.5072451177256664
sandors24,0.4855587643278075
almarrone,0.4778391217064978
paninoelistino,0.46710879442201225
CreativeConstr,0.4589284237293778
FortifyCulture,0.4587072370774053
dannyvena,0.36219531293762536
DogeTop5,0.32763827445763877
MustCrypto,0.3261810440122875
Secret_Finance,0.3244694877341206
TeminatorTrader,0.2800976983438763
esgarchitect,0.2637637873404065
CAPITALRADIOB,0.23851425121547254
Leichtskorpion,0.23322954840317037
Nathanwlove1,0.1933259505150284
ksamuel6271,0.19311272727878792
VGOPodcast,0.11981403171491717
UsmanSattarMD,0.11837673598798418
HappyWarriorP,0.11576916038150634
MoneyPigTrading,0.0977202800077663
mauneel,0.08513761864466386
EsportsEnigmist,0.07561569740300303
AaronDayAtlas,0.07523335058561326
mfatah281,0.0744224733613721
SecondPlayerNet,0.06910146291430652
SwampDonkeyzz,0.0664363774590086
Rushuna_Tendo,0.06396679407980593
CUIN2forreal,0.06257486765829172
whozae,0.062253487708016225
VeganHodophile,0.06222567598155007
excellencia_ltd,0.04034941670553502
sameepa,0.035412307359831155
DealVibes,0.03476416227357715
davidjdeal,0.022050010569682657
CWRoehl,0.021609025883589587
GWNeNOW,0.002871131098872215
chriskatje,-0.015168087411439681
WallStreetEasy,-0.01754645135788021
bigpoppanard,-0.02219100967772709
AilsaForshaw,-0.03336179114621168
acemaxx,-0.034410822046143714
ThePapaHacker,-0.052095156800789806
Tiberius_Philo,-0.05387931736074267
Mikalche,-0.0574863115571449
darrenculbreath,-0.0641960481219366
johnnymmaz,-0.06703634440872946
shrosengren,-0.06879425356433991
Maui_EastAfrica,-0.06884235653540631
TyJax1,-0.0695049976851415
KartoonBlue,-0.06950808787697108
DeklynMichaels,-0.06956371132990337
BitFinanzas,-0.07245139504934707
a_coops1,-0.07562209118556926
BeerdHead,-0.1031597511340949
jeskillings,-0.1140524875618375
RobertDelgado23,-0.1160384219387984
JaneSymons1,-0.12274098711230452
BP_Rising,-0.13900327174647126
russmould1,-0.14406211120252171
SchuermannChris,-0.15807576470179602
Ackermanjay,-0.1587274517467973
akifmalik,-0.16426563916034598
GarabedianAlex,-0.16990679957143878
BuyerHigh,-0.17940540594104742
nzzwirtschaft,-0.17948538448078108
rptavakol,-0.18856298443027636
playmaker09,-0.1886632106670294
thetechstartups,-0.19011210063968265
EtoEWanders,-0.19144531341643495
dakshaydesai,-0.19446629103950824
TheFortuneTell5,-0.1952233880377534
MRKTinsider,-0.19653980975715113
ThaRealMFA,-0.19897406092802178
dforceone,-0.19900187265448793
TheOriginalNOC,-0.199788121477406
theangrylisas,-0.20047548416177774
Vtrade7,-0.20056200953300576
moneydotbiz,-0.20069797797350694
BenHueng,-0.20073815046729138
HassanImran355,-0.20084321698949684
