date,sentiment_score
2020-12-27,0.3580644067796611
2020-12-28,0.2807887096774195
2020-12-29,0.2149338028169015
2020-12-30,0.5052106382978718
2020-12-31,0.35314761904761915
2021-01-01,0.2899380000000001
2021-01-02,0.3418823529411766
2021-01-03,0.2977123076923078
2021-01-04,0.25750000000000006
2021-01-05,0.39485116279069776
2021-01-06,0.3581000000000001
2021-01-07,0.1725175572519084
2021-01-08,0.26071573033707873
2021-01-09,-0.02741408450704226
2021-01-10,-0.06914905660377361
2021-01-11,-0.048604375
2021-01-12,0.08945058823529413
2021-01-13,0.17413366336633662
2021-01-14,0.1725421052631579
2021-01-15,0.14025087719298243
2021-01-16,0.18806666666666666
2021-01-17,0.09970909090909091
2021-01-18,0.17006274509803923
2021-01-19,0.20573058823529408
2021-01-20,0.18392804878048785
2021-01-21,0.1306399061032865
2021-01-22,0.12161314285714281
2021-01-23,0.14340542635658918
2021-01-24,0.05723950617283953
2021-01-25,0.07235302013422812
2021-01-26,0.10162926829268296
2021-01-27,0.06296435132843413
2021-01-28,0.05282822268379487
2021-01-29,0.0939684378320933
2021-01-30,0.08607905650596176
2021-01-31,0.1419042122376602
2021-02-01,0.07913842638869054
2021-02-02,0.123673144208038
2021-02-03,0.03969520527419817
2021-02-04,0.07981101658868564
2021-02-05,0.07787536728697349
2021-02-06,0.08404195278969952
2021-02-07,0.130906826347305
2021-02-08,0.06676151452282157
2021-02-09,0.07158916046758763
2021-02-10,0.09166764361078526
2021-02-11,0.05127893030794165
2021-02-12,-0.059555292652552876
2021-02-13,0.014148356807511739
2021-02-14,0.05775279720279718
2021-02-15,0.10310074626865669
2021-02-16,0.08138248337028826
2021-02-17,0.09984747967479683
2021-02-18,0.050023237932507354
2021-02-19,0.08292641325536067
2021-02-20,0.11649533799533801
2021-02-21,0.12713259493670875
2021-02-22,0.09787868852459015
2021-02-23,0.02952284866468844
2021-02-24,0.07500369282417144
2021-02-25,-0.012352082726478903
2021-02-26,0.1423444361463785
